Year,ADM2_PCODE,ADM2_EN,N_t,RRUI,NDVI
2012,KAZ020001,Akzhaik District,5,0,0.27638671984004376
2012,KAZ020002,Bokey Orda District,5,0.0704022363452337,0.2372933664784304
2012,KAZ020005,Kaztal District,5,0.567033436691363,0.30152235676853834
2012,KAZ020012,Zhanakala District,5,0,0.26808571591811403
2012,KAZ020013,Zhanybek District,5,0.362564326963403,0.28700781000627046
2013,KAZ020001,Akzhaik District,7,0.0787221617393152,0.287105626966241
2013,KAZ020002,Bokey Orda District,7,0.0732172054633599,0.2880243207353419
2013,KAZ020005,Kaztal District,7,0.394112518976994,0.3284205029647204
2013,KAZ020012,Zhanakala District,7,0.0223442000154204,0.28585202718041247
2013,KAZ020013,Zhanybek District,7,0.43160391380491,0.3802514061335601
2014,KAZ020001,Akzhaik District,5,0.0627713980815935,0.2894304921400095
2014,KAZ020002,Bokey Orda District,5,0.286825838748504,0.2251649542823188
2014,KAZ020005,Kaztal District,5,0.404401515653328,0.3104930796346508
2014,KAZ020012,Zhanakala District,5,0,0.251680307774324
2014,KAZ020013,Zhanybek District,5,0.246001247516574,0.3020428599376327
2015,KAZ020001,Akzhaik District,3,0,0.27115391885807616
2015,KAZ020002,Bokey Orda District,3,0.0133137762575129,0.21793538288430195
2015,KAZ020005,Kaztal District,3,0.443871758697004,0.268882195803906
2015,KAZ020012,Zhanakala District,3,0,0.23875755913063487
2015,KAZ020013,Zhanybek District,3,0.542814465045483,0.2720398759135028
2016,KAZ020001,Akzhaik District,5,0,0.4254178554210107
2016,KAZ020002,Bokey Orda District,5,0.621276474446798,0.29817016927980333
2016,KAZ020005,Kaztal District,5,0,0.3855648668612244
2016,KAZ020012,Zhanakala District,5,0.131825475705531,0.3314464964687192
2016,KAZ020013,Zhanybek District,5,0.246898049847671,0.3885916615428144
2017,KAZ020001,Akzhaik District,23,0.0734078092938533,0.3228111428845575
2017,KAZ020002,Bokey Orda District,23,0.340963495077338,0.2571884056023416
2017,KAZ020005,Kaztal District,23,0.26103531324682,0.33476649604678177
2017,KAZ020012,Zhanakala District,23,0.237399890047013,0.26901129314263544
2017,KAZ020013,Zhanybek District,23,0.0871934923349757,0.347336274285187
2018,KAZ020001,Akzhaik District,15,0,0.28834961982789575
2018,KAZ020002,Bokey Orda District,15,0.302651276642511,0.24928564847305196
2018,KAZ020005,Kaztal District,15,0.306376129075373,0.2887788176739885
2018,KAZ020012,Zhanakala District,15,0.159725319968693,0.2455597606134174
2018,KAZ020013,Zhanybek District,15,0.231247274313423,0.2804641160941442
2019,KAZ020001,Akzhaik District,9,0,0.29649981748669024
2019,KAZ020002,Bokey Orda District,9,0.242624904455947,0.26438373089861594
2019,KAZ020005,Kaztal District,9,0.303511967264386,0.3118490110723962
2019,KAZ020012,Zhanakala District,9,0.201205854568302,0.26313883854116293
2019,KAZ020013,Zhanybek District,9,0.252657273711365,0.3626260867388146
2020,KAZ020001,Akzhaik District,3,0,0.25363337589801443
2020,KAZ020002,Bokey Orda District,3,0.200035684998518,0.22399697129903545
2020,KAZ020005,Kaztal District,3,0.541595827631539,0.2434016438545913
2020,KAZ020012,Zhanakala District,3,0,0.23614708745919905
2020,KAZ020013,Zhanybek District,3,0.258368487369943,0.25892206199474194
2021,KAZ020001,Akzhaik District,4,0,0.28123798381186305
2021,KAZ020002,Bokey Orda District,4,0.544139698715598,0.2976081893962576
2021,KAZ020005,Kaztal District,4,0.245916555358888,0.3480422589906507
2021,KAZ020012,Zhanakala District,4,0.0547991686775661,0.2780950875405463
2021,KAZ020013,Zhanybek District,4,0.155144577247948,0.35227375381931036
2022,KAZ020001,Akzhaik District,3,0,0.3446250586138217
2022,KAZ020002,Bokey Orda District,3,0.0956887560875232,0.2849644260541315
2022,KAZ020005,Kaztal District,3,0.342314461312909,0.3631907702206299
2022,KAZ020012,Zhanakala District,3,0,0.29546063773128156
2022,KAZ020013,Zhanybek District,3,0.561996782599568,0.38112691116002223
2023,KAZ020001,Akzhaik District,17,0,0.3251000012184523
2023,KAZ020002,Bokey Orda District,17,0.625603921149873,0.24648547569803575
2023,KAZ020005,Kaztal District,17,0.137530340155902,0.32236945754310375
2023,KAZ020012,Zhanakala District,17,0.0119136928523538,0.2832923821062671
2023,KAZ020013,Zhanybek District,17,0.224952045841871,0.3024740915402624
2024,KAZ020001,Akzhaik District,14,0.00312685584892543,0.32928205776713226
2024,KAZ020002,Bokey Orda District,14,0.383876431254258,0.2502965558667204
2024,KAZ020005,Kaztal District,14,0.211375351510441,0.3065052754769236
2024,KAZ020012,Zhanakala District,14,0.0862828352885695,0.27376770726329436
2024,KAZ020013,Zhanybek District,14,0.315338526097806,0.294516517377903
