"Year","ADM2_PCODE","ADM2_EN","N_t","RRUI"
2012,"KAZ020001","Akzhaik District",5,0
2012,"KAZ020002","Bokey Orda District",5,0.0704022363452337
2012,"KAZ020005","Kaztal District",5,0.567033436691363
2012,"KAZ020012","Zhanakala District",5,0
2012,"KAZ020013","Zhanybek District",5,0.362564326963403
2013,"KAZ020001","Akzhaik District",7,0.0787221617393152
2013,"KAZ020002","Bokey Orda District",7,0.0732172054633599
2013,"KAZ020005","Kaztal District",7,0.394112518976994
2013,"KAZ020012","Zhanakala District",7,0.0223442000154204
2013,"KAZ020013","Zhanybek District",7,0.43160391380491
2014,"KAZ020001","Akzhaik District",5,0.0627713980815935
2014,"KAZ020002","Bokey Orda District",5,0.286825838748504
2014,"KAZ020005","Kaztal District",5,0.404401515653328
2014,"KAZ020012","Zhanakala District",5,0
2014,"KAZ020013","Zhanybek District",5,0.246001247516574
2015,"KAZ020001","Akzhaik District",3,0
2015,"KAZ020002","Bokey Orda District",3,0.0133137762575129
2015,"KAZ020005","Kaztal District",3,0.443871758697004
2015,"KAZ020012","Zhanakala District",3,0
2015,"KAZ020013","Zhanybek District",3,0.542814465045483
2016,"KAZ020001","Akzhaik District",5,0
2016,"KAZ020002","Bokey Orda District",5,0.621276474446798
2016,"KAZ020005","Kaztal District",5,0
2016,"KAZ020012","Zhanakala District",5,0.131825475705531
2016,"KAZ020013","Zhanybek District",5,0.246898049847671
2017,"KAZ020001","Akzhaik District",23,0.0734078092938533
2017,"KAZ020002","Bokey Orda District",23,0.340963495077338
2017,"KAZ020005","Kaztal District",23,0.26103531324682
2017,"KAZ020012","Zhanakala District",23,0.237399890047013
2017,"KAZ020013","Zhanybek District",23,0.0871934923349757
2018,"KAZ020001","Akzhaik District",15,0
2018,"KAZ020002","Bokey Orda District",15,0.302651276642511
2018,"KAZ020005","Kaztal District",15,0.306376129075373
2018,"KAZ020012","Zhanakala District",15,0.159725319968693
2018,"KAZ020013","Zhanybek District",15,0.231247274313423
2019,"KAZ020001","Akzhaik District",9,0
2019,"KAZ020002","Bokey Orda District",9,0.242624904455947
2019,"KAZ020005","Kaztal District",9,0.303511967264386
2019,"KAZ020012","Zhanakala District",9,0.201205854568302
2019,"KAZ020013","Zhanybek District",9,0.252657273711365
2020,"KAZ020001","Akzhaik District",3,0
2020,"KAZ020002","Bokey Orda District",3,0.200035684998518
2020,"KAZ020005","Kaztal District",3,0.541595827631539
2020,"KAZ020012","Zhanakala District",3,0
2020,"KAZ020013","Zhanybek District",3,0.258368487369943
2021,"KAZ020001","Akzhaik District",4,0
2021,"KAZ020002","Bokey Orda District",4,0.544139698715598
2021,"KAZ020005","Kaztal District",4,0.245916555358888
2021,"KAZ020012","Zhanakala District",4,0.0547991686775661
2021,"KAZ020013","Zhanybek District",4,0.155144577247948
2022,"KAZ020001","Akzhaik District",3,0
2022,"KAZ020002","Bokey Orda District",3,0.0956887560875232
2022,"KAZ020005","Kaztal District",3,0.342314461312909
2022,"KAZ020012","Zhanakala District",3,0
2022,"KAZ020013","Zhanybek District",3,0.561996782599568
2023,"KAZ020001","Akzhaik District",17,0
2023,"KAZ020002","Bokey Orda District",17,0.625603921149873
2023,"KAZ020005","Kaztal District",17,0.137530340155902
2023,"KAZ020012","Zhanakala District",17,0.0119136928523538
2023,"KAZ020013","Zhanybek District",17,0.224952045841871
2024,"KAZ020001","Akzhaik District",14,0.00312685584892543
2024,"KAZ020002","Bokey Orda District",14,0.383876431254258
2024,"KAZ020005","Kaztal District",14,0.211375351510441
2024,"KAZ020012","Zhanakala District",14,0.0862828352885695
2024,"KAZ020013","Zhanybek District",14,0.315338526097806
