district,year,precip_mm,temp_c
Akzhaiyk,2012.0,106.75229246231828,20.751382944044696
Kaztalov,2012.0,138.14327597842222,20.15802833619409
Urda,2012.0,141.63996734818897,20.904375271614594
Zhangala,2012.0,112.86048922689284,21.177855647009682
Zhanybek,2012.0,156.3915077210665,20.094769072685132
Akzhaiyk,2013.0,147.47038648469308,18.697979593005744
Kaztalov,2013.0,176.6661271198723,18.306459645878846
Urda,2013.0,171.83846711129706,18.922576482086228
Zhangala,2013.0,148.4451851534958,19.141231231076585
Zhanybek,2013.0,219.6957641274704,18.063982858737297
Akzhaiyk,2014.0,87.80635412117188,18.350067508252042
Kaztalov,2014.0,109.47944442170328,18.02490254226243
Urda,2014.0,113.01554296889886,19.07468879364437
Zhangala,2014.0,92.11320140823315,18.960836182355006
Zhanybek,2014.0,133.77581165809454,18.07590247026968
Akzhaiyk,2015.0,93.96910680856529,18.545717557707267
Kaztalov,2015.0,142.8558154464481,18.486703142761183
Urda,2015.0,144.12101316483486,19.265827127102053
Zhangala,2015.0,112.78507289336982,19.222202592629046
Zhanybek,2015.0,162.73202118691214,18.45673351322234
Akzhaiyk,2016.0,188.21751520240608,18.32449065748103
Kaztalov,2016.0,180.40380513910216,18.405591022176267
Urda,2016.0,192.0797688838972,19.29163423864325
Zhangala,2016.0,163.43976291843805,19.082068817879666
Zhanybek,2016.0,221.55395018288303,18.35805752270902
Akzhaiyk,2017.0,114.8078417068881,18.273614748326654
Kaztalov,2017.0,156.43973460446276,18.004578413573082
Urda,2017.0,157.71756877813692,18.979929392471774
Zhangala,2017.0,126.3730827773143,18.96748563202967
Zhanybek,2017.0,176.88113280805274,17.901275602089903
Akzhaiyk,2018.0,95.31434503801964,18.925321258993478
Kaztalov,2018.0,120.80570952069836,18.830580730153695
Urda,2018.0,135.865703351957,19.604353350199105
Zhangala,2018.0,102.76084407771708,19.654482128606976
Zhanybek,2018.0,153.7074301715834,19.016678925141072
Akzhaiyk,2019.0,126.45825284994096,18.558945050935428
Kaztalov,2019.0,147.93545294944713,18.27777590489091
Urda,2019.0,155.34716631023318,19.083243533151418
Zhangala,2019.0,123.34763759130092,19.222479529108348
Zhanybek,2019.0,166.9531771037918,18.245522486670243
Akzhaiyk,2020.0,104.1012482905715,18.675173825782124
Kaztalov,2020.0,123.76836991103826,18.508523814621082
Urda,2020.0,116.00284618413822,19.383659404149483
Zhangala,2020.0,109.17275531810257,19.399090497605957
Zhanybek,2020.0,140.2647479768127,18.461084449990018
Akzhaiyk,2021.0,111.01431917222247,20.08692868201291
Kaztalov,2021.0,173.59368838360427,19.13387299885805
Urda,2021.0,171.99823419819,19.704115131335065
Zhangala,2021.0,125.07173473118054,19.99149715791711
Zhanybek,2021.0,204.27552621626793,18.958604221237696
Akzhaiyk,2022.0,131.14781293996086,18.63207972240665
Kaztalov,2022.0,170.35237798115128,18.317092504474363
Urda,2022.0,165.80874394980765,19.290804987857893
Zhangala,2022.0,142.96778397986412,19.327552450550733
Zhanybek,2022.0,209.65615191739792,18.180748134677984
Akzhaiyk,2023.0,159.98946034992852,19.01599017180845
Kaztalov,2023.0,190.86608488592813,18.44497113866896
Urda,2023.0,162.77268704099572,19.507576693574045
Zhangala,2023.0,170.42076515990948,19.556233526046565
Zhanybek,2023.0,189.47994171277844,18.397400123462777
Akzhaiyk,2024.0,144.44643528636811,19.071873475504795
Kaztalov,2024.0,154.44293699605743,19.13357665358267
Urda,2024.0,137.48145671835115,20.008277380786932
Zhangala,2024.0,142.26508373829023,19.77291058488399
Zhanybek,2024.0,176.46936130622936,19.294429899944582
