ADM2_EN,ADM2_PCODE,Year,NDVI
Kaztal District,KAZ020005,2012.0,0.30152235676853834
Zhanybek District,KAZ020013,2012.0,0.28700781000627046
Bokey Orda District,KAZ020002,2012.0,0.23729336647843038
Akzhaik District,KAZ020001,2012.0,0.27638671984004376
Zhanakala District,KAZ020012,2012.0,0.26808571591811403
Kaztal District,KAZ020005,2013.0,0.3284205029647204
Zhanybek District,KAZ020013,2013.0,0.3802514061335601
Bokey Orda District,KAZ020002,2013.0,0.2880243207353419
Akzhaik District,KAZ020001,2013.0,0.287105626966241
Zhanakala District,KAZ020012,2013.0,0.28585202718041247
Kaztal District,KAZ020005,2014.0,0.3104930796346508
Zhanybek District,KAZ020013,2014.0,0.3020428599376327
Bokey Orda District,KAZ020002,2014.0,0.22516495428231878
Akzhaik District,KAZ020001,2014.0,0.2894304921400095
Zhanakala District,KAZ020012,2014.0,0.251680307774324
Kaztal District,KAZ020005,2015.0,0.268882195803906
Zhanybek District,KAZ020013,2015.0,0.2720398759135028
Bokey Orda District,KAZ020002,2015.0,0.21793538288430195
Akzhaik District,KAZ020001,2015.0,0.27115391885807616
Zhanakala District,KAZ020012,2015.0,0.23875755913063487
Kaztal District,KAZ020005,2016.0,0.3855648668612244
Zhanybek District,KAZ020013,2016.0,0.38859166154281444
Bokey Orda District,KAZ020002,2016.0,0.29817016927980333
Akzhaik District,KAZ020001,2016.0,0.4254178554210107
Zhanakala District,KAZ020012,2016.0,0.3314464964687192
Kaztal District,KAZ020005,2017.0,0.33476649604678177
Zhanybek District,KAZ020013,2017.0,0.347336274285187
Bokey Orda District,KAZ020002,2017.0,0.2571884056023416
Akzhaik District,KAZ020001,2017.0,0.3228111428845575
Zhanakala District,KAZ020012,2017.0,0.26901129314263544
Kaztal District,KAZ020005,2018.0,0.2887788176739885
Zhanybek District,KAZ020013,2018.0,0.2804641160941442
Bokey Orda District,KAZ020002,2018.0,0.24928564847305196
Akzhaik District,KAZ020001,2018.0,0.28834961982789575
Zhanakala District,KAZ020012,2018.0,0.2455597606134174
Kaztal District,KAZ020005,2019.0,0.3118490110723962
Zhanybek District,KAZ020013,2019.0,0.3626260867388146
Bokey Orda District,KAZ020002,2019.0,0.26438373089861594
Akzhaik District,KAZ020001,2019.0,0.29649981748669024
Zhanakala District,KAZ020012,2019.0,0.26313883854116293
Kaztal District,KAZ020005,2020.0,0.2434016438545913
Zhanybek District,KAZ020013,2020.0,0.25892206199474194
Bokey Orda District,KAZ020002,2020.0,0.22399697129903545
Akzhaik District,KAZ020001,2020.0,0.25363337589801443
Zhanakala District,KAZ020012,2020.0,0.23614708745919905
Kaztal District,KAZ020005,2021.0,0.3480422589906507
Zhanybek District,KAZ020013,2021.0,0.35227375381931036
Bokey Orda District,KAZ020002,2021.0,0.2976081893962576
Akzhaik District,KAZ020001,2021.0,0.28123798381186305
Zhanakala District,KAZ020012,2021.0,0.2780950875405463
Kaztal District,KAZ020005,2022.0,0.3631907702206299
Zhanybek District,KAZ020013,2022.0,0.38112691116002223
Bokey Orda District,KAZ020002,2022.0,0.2849644260541315
Akzhaik District,KAZ020001,2022.0,0.3446250586138217
Zhanakala District,KAZ020012,2022.0,0.29546063773128156
Kaztal District,KAZ020005,2023.0,0.32236945754310375
Zhanybek District,KAZ020013,2023.0,0.3024740915402624
Bokey Orda District,KAZ020002,2023.0,0.24648547569803575
Akzhaik District,KAZ020001,2023.0,0.3251000012184523
Zhanakala District,KAZ020012,2023.0,0.2832923821062671
Kaztal District,KAZ020005,2024.0,0.3065052754769236
Zhanybek District,KAZ020013,2024.0,0.294516517377903
Bokey Orda District,KAZ020002,2024.0,0.2502965558667204
Akzhaik District,KAZ020001,2024.0,0.32928205776713226
Zhanakala District,KAZ020012,2024.0,0.27376770726329436
