Model,Inference,Beta_RRUI,SE,P_value,N,Clusters
Baseline,Clustered (fixest CRV1),-0.01839590077276737,0.0111076080763295,0.17303220414135215,65,5
Baseline,CR2 (Satterthwaite),-0.01839590077276737,0.01127660314926846,0.22587971607837848,65,5
Baseline,WCB Rademacher (exact),-0.01839590077276737,NA,0.25,65,5
Baseline,WCB Webb (exact),-0.01839590077276737,NA,0.21167695473251028,65,5
Climate,Clustered (fixest CRV1),-0.01626097702408711,0.00892256574924001,0.1424701865634097,65,5
Climate,CR2 (Satterthwaite),-0.01626097702408711,0.01063525186726442,0.24802062066653788,65,5
Climate,WCB Rademacher (exact),-0.01626097702408711,NA,0.125,65,5
Climate,WCB Webb (exact),-0.01626097702408711,NA,0.1087962962962963,65,5
Climate + livestock,Clustered (fixest CRV1),-0.01715772922726541,0.01045434576355748,0.17609889306796095,65,5
Climate + livestock,CR2 (Satterthwaite),-0.01715772922726541,0.01238954612135934,0.27896550031645834,65,5
Climate + livestock,WCB Rademacher (exact),-0.01715772922726541,NA,0.125,65,5
Climate + livestock,WCB Webb (exact),-0.01715772922726541,NA,0.13117283950617284,65,5
